crime_risk,lighting_score,traffic_level,time_risk,road_risk,distance,risk
15.23,10.1,33.91,50.03,25.01,1515.05,0
69.63,76.48,6.51,23.8,97.48,1500.19,0
44.62,83.59,26.45,29.28,17.42,983.36,0
38.1,18.65,99.02,39.21,3.24,51.97,0
30.15,21.93,4.46,49.55,94.94,366.91,0
63.03,32.32,85.9,39.03,30.6,119.53,0
36.18,59.11,7.75,38.73,39.34,1697.09,0
8.76,62.18,52.9,11.57,8.09,593.75,0
11.8,68.68,45.21,86.56,40.41,253.49,0
96.19,90.52,93.16,60.92,97.22,721.26,1
90.86,29.5,19.9,14.61,69.4,173.03,0
69.97,65.88,17.97,42.39,47.38,1958.14,0
26.59,55.97,74.87,41.67,30.75,643.72,0
96.92,30.58,72.57,60.06,36.6,1867.47,1
77.88,90.74,69.92,60.89,61.12,1371.8,0
71.69,9.55,2.61,64.52,25.45,1140.89,0
44.94,71.2,26.0,69.79,15.19,961.48,0
27.22,72.79,83.99,10.34,69.62,1381.01,0
9.64,91.53,60.09,30.49,86.95,1378.83,0
90.26,51.86,60.22,1.73,90.15,40.83,0
45.58,32.16,29.59,45.46,84.14,1817.41,0
20.24,82.77,26.02,42.94,53.06,748.57,0
30.6,77.08,94.66,73.43,78.88,719.48,0
57.92,50.03,72.78,16.71,92.64,825.05,1
17.68,76.79,12.69,63.15,2.34,1376.86,0
85.66,26.79,93.77,30.67,41.21,764.52,1
75.85,58.95,58.24,38.19,20.41,760.19,0
71.95,86.52,33.34,71.93,99.68,145.66,0
43.21,31.8,39.71,7.15,92.96,844.95,0
62.73,48.35,72.54,34.28,80.22,315.97,0
58.41,95.1,37.63,39.13,29.59,1714.07,0
64.98,79.82,57.87,71.57,95.21,682.33,1
8.44,88.7,71.05,19.92,2.93,1922.52,0
41.58,38.52,19.54,94.74,18.8,1375.37,0
4.16,99.65,94.42,99.78,61.69,1517.18,0
49.4,15.26,35.62,81.89,79.3,1896.55,1
32.99,51.88,41.94,29.97,88.36,493.09,0
14.45,47.93,69.85,66.39,30.05,1143.24,0
10.34,79.84,60.88,8.31,39.08,100.64,0
58.76,90.86,44.01,87.13,45.48,219.5,0
17.06,73.11,64.97,51.6,2.7,745.84,0
92.51,62.68,90.28,17.64,86.4,1371.35,1
58.11,42.74,80.03,32.74,33.79,1666.75,0
34.69,51.03,82.43,80.07,19.93,527.68,0
59.09,50.93,25.84,87.02,40.92,1503.17,0
2.28,2.04,41.94,51.97,71.06,464.1,0
95.86,50.3,55.38,48.03,87.09,31.99,1
48.23,85.6,4.42,75.07,21.54,127.74,0
78.27,70.93,76.98,82.62,17.26,1179.41,0
8.27,79.57,32.35,76.48,94.38,1004.35,0
48.67,39.05,28.26,38.44,55.09,555.44,0
49.07,52.9,25.93,64.19,36.58,32.96,0
93.78,3.35,28.34,85.74,19.93,1144.66,1
57.17,38.3,33.8,15.18,99.52,1638.86,1
47.35,47.44,60.48,38.81,71.92,155.72,0
26.7,25.52,58.36,5.66,21.79,1478.22,0
33.16,3.12,25.57,40.89,9.13,1276.39,0
52.07,69.04,20.64,77.23,19.93,969.12,0
43.89,43.51,82.64,19.7,24.77,115.72,0
2.16,41.57,9.27,54.19,11.11,1848.67,0
82.63,25.0,51.28,3.66,22.97,965.33,0
89.62,53.78,52.06,89.76,11.68,811.22,0
14.02,43.8,57.41,82.0,37.77,1725.72,0
55.4,47.4,88.57,52.44,48.62,1694.24,0
10.86,58.09,62.39,70.58,45.53,1459.98,0
67.22,0.63,97.36,10.39,82.92,1662.13,1
28.12,90.77,87.14,84.52,25.4,266.17,0
65.94,7.11,21.47,71.53,88.71,1526.61,1
72.7,45.09,24.12,12.0,90.81,669.51,0
76.86,20.74,34.48,98.07,95.98,1737.64,1
10.77,52.38,39.15,2.25,18.1,753.06,0
91.6,28.02,55.3,62.85,24.58,127.52,0
23.02,86.0,23.25,17.18,62.38,840.47,0
3.74,39.64,22.23,71.93,14.09,1518.42,0
55.49,63.88,38.14,7.04,8.56,1011.85,0
37.09,24.89,67.2,8.11,7.37,1532.0,0
82.98,1.94,68.81,46.63,60.61,89.84,1
80.83,40.42,97.61,99.4,80.47,370.79,1
31.71,53.65,20.24,27.65,25.89,1135.94,0
95.29,45.95,39.29,61.25,93.35,782.92,1
29.09,96.2,96.47,51.86,79.19,1366.75,0
51.51,70.68,69.0,84.21,7.75,1925.86,0
25.6,99.57,59.23,28.86,40.73,1326.53,0
93.6,29.51,53.96,55.49,6.8,846.38,0
16.46,78.91,7.55,95.06,91.52,1093.88,0
4.49,55.56,89.34,33.26,74.28,1827.4,0
43.51,61.18,62.55,43.94,68.65,1352.52,0
99.24,98.59,57.17,88.88,68.27,1610.3,1
89.17,65.4,53.95,33.25,28.52,617.01,0
74.86,89.88,39.19,38.07,93.35,1493.76,0
89.08,72.58,25.47,30.41,92.28,296.07,0
89.34,12.74,75.53,80.95,73.95,1504.56,1
51.89,69.94,50.96,93.04,46.89,1765.49,0
31.59,48.43,3.39,63.11,4.71,1802.46,0
77.2,91.88,39.91,62.36,2.83,250.85,0
66.17,80.68,92.86,39.0,13.81,1663.17,0
37.37,10.41,37.39,1.25,59.58,237.67,0
9.45,13.39,41.32,17.39,79.81,967.23,0
74.68,6.96,62.4,14.74,94.85,1371.39,1
26.25,49.32,80.17,11.59,17.54,978.81,0
93.68,8.08,66.85,65.4,27.55,693.02,1
24.1,72.37,85.01,13.63,5.41,1373.97,0
12.28,55.24,11.4,8.56,98.9,1328.54,0
83.11,83.59,92.46,38.26,78.09,1174.13,0
15.33,27.98,90.39,24.9,48.07,1066.29,0
17.93,51.91,51.91,14.59,57.56,1417.37,0
59.94,11.75,62.47,14.61,56.22,818.01,0
87.46,88.46,21.28,25.62,25.44,156.16,0
19.64,17.5,44.79,53.68,18.54,1084.16,0
31.03,10.24,20.27,75.81,29.7,1452.44,0
77.74,20.51,2.2,85.28,24.72,612.34,0
97.18,80.62,98.09,75.14,55.75,298.69,1
50.07,10.58,25.91,62.82,30.82,1825.45,0
14.39,61.44,59.31,90.76,72.89,1730.22,0
1.39,74.62,30.03,51.97,56.79,1244.5,0
22.97,75.11,37.06,63.34,53.23,1577.48,0
13.18,19.01,39.78,41.16,95.13,1938.23,0
67.77,6.16,33.5,32.74,32.24,1147.13,0
12.18,44.88,63.74,33.17,63.53,503.48,0
50.63,20.25,96.09,14.83,0.01,1284.85,0
69.43,69.93,42.86,79.66,73.69,1830.9,0
58.11,35.67,97.33,5.54,50.25,1386.49,0
19.98,44.94,66.78,67.47,20.84,71.96,0
80.41,11.35,60.71,86.45,0.15,1835.92,0
71.54,56.76,23.71,49.74,70.69,1512.28,0
73.9,18.55,6.29,7.02,66.27,815.63,0
13.11,67.9,85.19,42.84,66.54,1975.23,0
12.38,7.12,57.4,34.32,43.75,1448.93,0
92.76,97.59,41.44,98.55,63.93,1654.37,0
39.76,68.45,81.2,69.13,57.13,1887.47,0
30.09,18.17,31.06,72.14,23.89,98.37,0
48.86,1.41,78.36,51.58,51.88,1553.35,1
66.29,33.45,32.8,70.94,51.46,784.97,0
95.56,15.28,92.09,72.26,82.36,1740.77,1
28.64,21.84,26.8,6.64,43.35,1760.21,0
92.48,87.28,13.76,22.26,43.61,1660.66,0
2.49,60.32,69.81,1.3,98.44,1562.82,0
55.52,17.65,16.28,50.98,89.45,1592.68,0
63.4,55.67,94.94,87.58,24.23,607.17,0
10.59,25.58,65.56,60.96,91.03,824.93,0
14.03,97.62,23.09,50.02,13.8,247.81,0
41.91,3.28,20.88,92.6,85.34,1664.57,1
96.62,73.23,92.39,17.22,18.33,1299.09,0
59.6,77.3,60.79,7.46,42.56,1233.18,0
93.3,6.72,89.37,91.73,98.39,507.23,1
80.44,17.19,11.02,90.28,9.7,1237.77,0
46.74,38.43,92.54,68.3,83.98,920.01,1
78.48,86.82,52.0,24.6,49.47,1990.63,0
1.78,53.7,66.84,96.98,11.1,1728.88,0
10.91,65.53,37.29,76.53,95.25,1061.45,0
82.94,78.3,5.91,67.39,54.92,1620.74,0
79.68,82.81,95.8,22.29,88.06,345.72,0
23.26,47.63,99.46,51.31,86.91,220.77,0
53.08,50.88,36.45,82.26,1.46,1268.69,0
60.6,71.8,94.39,86.03,26.48,1459.04,0
86.77,26.33,16.77,56.14,33.69,125.05,0
60.31,85.45,15.47,52.28,53.49,417.91,0
41.26,2.08,7.31,69.77,7.19,1083.79,0
37.42,19.58,39.13,52.82,38.9,144.38,0
42.59,80.02,5.23,41.77,81.46,859.62,0
65.19,34.03,39.47,8.54,17.32,974.52,0
86.75,14.98,13.84,12.6,70.13,1845.18,0
45.39,18.68,73.05,76.03,46.03,645.04,0
24.78,53.08,83.34,2.47,7.07,353.96,0
23.67,84.62,68.78,5.23,17.74,34.87,0
74.6,7.07,20.05,90.46,14.1,260.78,0
81.66,3.05,76.68,70.4,61.97,1506.71,1
10.53,46.52,24.95,0.42,8.73,900.95,0
6.66,95.62,75.95,31.2,82.3,413.48,0
59.44,27.9,56.74,76.33,80.67,1867.39,1
14.62,95.92,36.67,41.76,8.01,1579.33,0
82.47,88.77,8.35,46.88,88.82,246.44,0
31.03,28.31,82.75,45.88,95.92,552.54,0
14.39,81.69,93.97,20.21,4.35,1701.89,0
92.1,68.59,66.59,72.14,95.03,1391.01,1
16.55,51.18,96.45,10.3,27.95,1892.18,0
28.47,42.29,93.41,50.73,66.48,170.97,0
15.36,81.55,19.46,17.0,17.48,1555.31,0
11.55,79.31,73.12,4.65,81.75,171.29,0
2.11,75.69,34.93,14.32,84.19,686.59,0
5.54,99.83,48.75,86.93,97.83,1506.32,0
17.46,47.85,15.7,17.61,99.25,1427.8,0
5.34,80.69,97.48,27.84,7.59,24.19,0
59.11,86.25,72.61,13.81,65.8,419.85,0
68.07,21.16,26.69,73.55,27.3,1561.58,0
39.36,4.21,37.15,44.54,12.56,269.77,0
31.8,40.47,42.25,94.36,14.88,666.23,0
50.45,85.67,74.75,66.43,93.64,384.1,0
87.5,28.91,92.57,53.14,68.36,240.68,1
85.11,70.0,32.14,65.66,5.05,1676.52,0
4.35,0.73,47.25,4.04,98.42,141.46,0
18.15,35.54,59.32,95.07,80.78,1081.38,0
23.67,61.55,39.33,95.64,30.92,1391.49,0
24.94,12.98,50.42,27.61,47.09,134.03,0
57.12,89.66,10.57,62.83,72.66,1274.19,0
41.63,15.63,16.77,20.19,67.6,681.45,0
4.93,90.98,40.11,54.75,46.31,1670.42,0
37.36,21.64,91.49,77.08,51.24,1599.37,0
52.38,99.43,34.94,93.98,4.32,1591.93,0
10.17,60.47,24.98,33.92,50.06,809.35,0
83.35,8.43,74.29,69.35,34.02,1648.65,1
5.2,6.53,94.91,71.64,28.51,1267.36,0
92.48,7.49,45.91,22.11,26.96,769.79,0
9.91,58.99,0.86,62.9,64.89,179.73,0
84.36,80.96,68.81,65.54,42.93,152.3,0
90.27,40.3,41.51,76.41,42.58,517.78,0
97.96,44.48,67.36,99.99,15.92,613.18,1
80.2,58.93,27.77,4.02,96.19,1856.51,0
77.95,53.3,0.24,20.23,22.39,1999.88,0
64.25,68.81,34.45,14.51,40.61,304.47,0
77.9,47.18,70.48,15.44,19.02,1886.68,0
13.46,71.39,39.31,45.42,70.31,1418.95,0
53.61,99.73,21.92,87.85,43.61,1007.24,0
51.42,35.03,46.4,44.87,41.36,1910.28,0
85.76,1.22,75.23,66.85,87.51,1433.11,1
46.28,12.56,11.94,37.65,75.95,1195.44,0
38.51,55.35,69.18,31.97,51.99,434.86,0
63.96,34.43,66.73,83.42,46.86,504.0,0
26.65,94.0,37.07,65.55,95.99,1824.77,0
13.98,62.74,97.03,35.09,95.65,445.78,0
47.79,52.04,89.47,91.42,70.48,83.97,1
41.69,79.8,31.62,49.85,76.01,547.13,0
23.26,25.86,3.11,18.83,89.91,971.5,0
36.75,81.97,30.83,48.32,96.43,776.29,0
36.64,0.31,20.47,67.47,8.23,1872.89,0
32.75,61.97,54.73,36.71,99.73,848.78,0
37.95,93.48,91.87,84.38,70.3,1780.32,0
68.57,78.79,87.03,53.31,59.27,1197.43,0
29.69,85.36,30.58,46.78,41.32,1057.77,0
94.89,39.7,42.86,85.87,33.64,337.19,0
91.63,82.42,3.65,46.29,80.42,556.64,0
48.09,55.08,54.42,41.44,65.44,1736.99,0
32.84,61.85,6.34,10.37,20.07,1564.32,0
53.54,5.89,93.86,36.25,60.99,905.9,1
84.86,20.16,86.69,39.7,14.12,1819.86,0
65.26,55.1,21.42,18.06,49.69,1641.97,0
80.44,5.88,69.94,58.78,58.35,241.93,1
53.27,74.14,56.8,14.38,63.57,1219.74,0
63.29,84.01,80.14,22.37,14.53,1601.71,0
28.82,92.04,47.57,56.11,9.56,1620.52,0
73.49,10.18,19.18,26.9,25.87,200.86,0
20.24,93.97,63.98,63.97,60.7,464.73,0
69.48,6.76,8.03,69.05,93.17,837.82,1
86.07,47.41,58.46,30.13,77.91,518.23,0
13.21,84.03,21.27,8.74,74.57,235.7,0
61.44,7.03,68.49,48.95,33.02,1265.02,0
9.51,1.82,82.8,9.29,11.17,1024.8,0
72.57,2.49,10.95,51.52,89.19,326.88,1
8.45,51.13,40.03,72.62,50.09,1181.04,0
93.59,81.16,73.35,62.03,10.05,142.79,0
13.74,12.74,16.37,44.83,53.5,778.42,0
95.89,12.46,56.65,94.59,67.54,1589.19,1
80.09,56.85,67.18,10.17,31.99,1782.3,0
59.37,23.43,35.48,88.0,0.92,505.56,0
78.26,73.02,83.2,80.01,62.16,1721.83,1
79.51,94.96,51.07,41.97,4.01,1785.68,0
94.6,76.6,62.7,15.29,43.28,1221.63,0
25.34,87.72,14.09,15.59,82.48,1964.71,0
59.01,51.96,2.32,92.18,99.88,507.43,0
9.5,83.23,5.07,23.37,37.03,156.57,0
61.62,18.29,90.39,87.41,2.01,1690.02,0
17.13,6.83,88.26,50.33,49.29,992.04,0
56.5,65.6,80.76,46.17,27.63,705.98,0
57.24,5.2,19.96,61.95,89.28,129.36,1
46.6,89.25,52.55,21.5,71.15,147.96,0
52.26,69.16,79.61,42.84,40.43,199.62,0
76.39,95.22,67.47,93.85,76.2,383.61,0
79.92,31.39,11.55,23.83,34.12,1941.39,0
49.22,48.62,89.55,92.16,52.18,577.18,0
59.96,74.17,16.07,99.42,92.28,1637.75,0
93.12,24.28,17.18,5.19,20.02,58.44,0
11.97,54.18,90.1,53.14,31.31,657.19,0
11.71,65.95,48.46,17.18,88.56,1814.26,0
8.77,97.88,37.29,62.17,46.19,386.38,0
65.79,74.47,55.37,98.95,31.79,582.37,0
41.86,11.81,98.14,89.69,3.73,1656.5,0
77.43,47.53,11.96,92.48,41.9,260.36,0
67.12,58.88,75.69,21.33,50.06,125.3,0
33.36,14.66,33.43,54.23,40.63,1932.63,0
89.84,43.2,11.7,23.48,27.75,821.49,0
76.25,28.4,42.19,89.94,36.91,1322.59,1
27.05,11.88,54.88,19.12,64.24,271.69,0
36.42,51.2,20.6,15.4,89.13,455.95,0
31.44,16.56,40.53,1.22,64.97,930.76,0
15.76,59.05,63.57,18.19,64.62,1356.8,0
14.78,16.97,57.64,18.98,81.69,600.63,0
93.61,72.36,72.32,7.75,16.51,1771.57,0
43.79,19.52,83.64,86.77,30.11,1566.67,0
38.33,89.63,40.91,78.0,5.06,1112.08,0
72.97,2.62,42.3,25.45,34.96,929.24,0
55.3,52.2,49.67,78.33,99.88,1246.69,1
93.61,32.01,56.64,42.22,32.93,1468.69,1
78.03,22.51,10.83,77.55,85.98,287.2,1
47.94,47.16,31.26,32.3,8.58,1708.23,0
37.64,84.2,17.19,56.47,45.97,989.02,0
98.66,91.53,38.59,38.16,35.15,1871.98,0
71.78,30.32,97.34,18.77,20.16,1911.97,0
95.12,15.42,58.27,58.56,37.25,80.82,1
11.85,72.01,42.94,75.08,65.13,781.27,0
85.05,58.2,56.59,75.31,49.03,1061.92,1
63.71,20.1,66.91,35.63,84.43,1088.4,1
12.19,76.03,43.5,51.87,90.49,1648.34,0
58.83,51.89,44.77,76.38,48.19,299.39,0
68.61,65.34,70.14,5.45,98.17,1252.52,0
1.23,35.93,6.09,7.19,7.2,1886.34,0
45.43,43.91,54.01,37.62,27.63,1993.45,0
82.54,18.03,54.73,22.35,41.67,39.97,0
29.54,75.65,75.68,37.46,58.27,1945.68,0
45.85,15.7,98.26,9.38,54.59,261.98,0
44.23,77.83,79.58,59.2,56.8,1083.16,0
30.19,79.8,50.38,67.17,89.63,507.81,0
91.84,74.66,16.95,79.18,27.76,1220.65,0
78.13,1.94,58.83,65.05,81.69,93.31,1
11.06,27.31,83.43,39.64,55.8,491.9,0
99.7,46.83,93.24,93.49,49.05,615.14,1
87.92,59.55,82.53,72.63,29.94,1832.9,0
28.39,91.92,18.9,52.77,30.41,1175.59,0
83.69,37.56,71.26,20.69,38.85,1422.26,0
10.64,87.5,88.02,64.9,76.35,1358.51,0
99.91,16.34,68.1,59.17,47.67,796.73,1
66.57,37.13,68.58,68.33,15.38,47.76,0
65.01,5.23,50.02,78.11,75.99,231.9,1
9.04,74.25,63.7,91.5,66.34,928.44,0
89.7,15.07,29.44,94.91,94.92,1883.76,1
2.9,25.7,8.88,63.02,52.94,512.54,0
24.08,77.52,82.77,96.6,65.44,1402.67,0
14.3,53.47,94.31,91.14,47.93,1656.66,0
77.68,1.4,85.68,0.26,68.08,1815.43,1
19.82,0.22,33.39,63.76,43.61,601.1,0
91.06,51.07,9.35,17.85,13.79,1863.94,0
65.63,30.5,28.01,29.52,98.67,1223.8,1
3.62,18.03,84.28,29.75,72.04,1026.65,0
0.54,61.36,65.58,48.31,60.86,1561.22,0
5.17,22.84,96.67,1.09,48.14,492.65,0
60.59,59.22,34.27,23.58,71.14,1628.91,0
80.15,37.93,55.15,2.91,12.68,1306.93,0
23.86,18.67,79.0,65.06,32.61,1602.74,0
84.94,13.81,23.4,88.93,12.47,1714.33,0
5.72,23.69,96.41,99.78,12.6,1242.35,0
80.1,2.98,59.24,44.86,2.13,92.74,0
92.78,30.81,0.79,26.01,75.59,609.54,0
77.21,90.2,2.52,85.31,22.73,1758.48,0
69.81,83.14,88.22,11.32,83.2,1261.37,0
83.8,37.2,64.53,97.42,90.44,1782.31,1
4.02,57.58,76.31,71.48,16.86,781.37,0
20.18,56.74,78.4,50.39,70.89,1019.36,0
12.49,82.87,42.05,9.67,46.03,1727.93,0
50.45,23.63,79.86,1.82,91.9,1528.82,1
74.52,29.64,93.75,54.45,48.44,767.45,1
63.0,30.18,17.22,41.39,37.89,64.81,0
85.11,4.09,76.41,84.27,29.46,1763.07,1
15.52,31.47,30.78,64.23,90.36,1576.99,0
73.46,87.79,32.15,43.19,22.62,909.34,0
19.3,91.2,41.28,22.6,82.77,1101.56,0
27.08,10.96,86.37,48.04,19.42,424.54,0
70.99,45.81,2.21,16.3,64.34,835.96,0
98.02,38.13,43.39,66.7,45.11,343.13,1
61.15,48.94,68.0,60.57,10.46,436.93,0
5.45,55.47,11.04,81.01,12.59,1695.81,0
61.63,2.03,79.23,44.95,28.15,737.7,0
4.24,84.22,94.19,27.86,76.67,1633.15,0
88.41,97.37,9.09,83.64,72.89,958.32,0
70.96,65.34,15.29,69.1,20.51,160.14,0
17.31,66.05,97.41,70.67,47.62,735.82,0
9.17,52.8,19.79,52.81,9.7,333.38,0
18.35,33.43,7.89,87.6,71.59,1393.28,0
98.0,14.9,95.22,22.78,79.33,1824.56,1
45.86,58.41,89.26,40.17,89.35,1530.89,0
78.41,4.49,65.57,79.62,88.57,1561.31,1
63.64,82.45,55.14,13.3,33.79,1726.5,0
57.24,42.09,91.92,80.81,25.45,1557.8,0
14.51,41.48,65.55,35.26,89.66,1145.78,0
94.6,32.72,65.84,12.55,14.6,1434.27,0
30.13,96.94,84.37,7.91,5.93,843.59,0
57.8,17.49,65.32,84.3,31.42,160.16,0
69.98,15.13,50.37,77.86,76.03,1417.05,1
64.92,16.55,38.97,28.8,69.42,1448.89,0
94.06,65.85,50.31,11.64,98.71,462.97,1
14.84,99.19,52.25,24.72,35.95,1908.8,0
50.84,23.55,36.08,21.3,27.58,123.97,0
40.4,90.56,44.81,73.31,37.82,1477.2,0
47.42,27.86,80.19,21.56,78.23,1937.59,0
11.92,64.79,41.65,21.61,21.43,632.12,0
13.41,4.05,2.56,3.23,94.77,1826.68,0
27.81,49.57,28.3,59.69,51.25,1656.34,0
30.47,65.46,23.17,68.9,78.31,1493.34,0
42.79,53.63,79.36,65.35,82.73,1908.51,0
61.1,23.78,44.93,56.86,47.88,1315.03,0
63.46,82.85,28.03,96.61,74.14,999.86,0
41.18,97.01,81.07,47.27,36.47,1357.85,0
40.88,45.92,1.92,86.01,81.09,835.41,0
21.76,63.59,17.43,64.6,82.39,663.28,0
58.83,79.04,82.7,8.42,56.62,182.85,0
31.7,24.15,55.07,81.01,21.81,768.46,0
3.61,86.45,77.36,58.44,97.02,1610.33,0
41.84,28.02,83.82,65.35,94.7,1891.96,1
47.41,77.58,94.2,18.02,61.98,1950.8,0
22.56,11.21,6.34,43.75,98.39,428.92,0
57.25,28.84,79.92,88.06,50.28,1151.43,0
56.58,53.36,70.88,21.54,37.55,1159.98,0
70.2,52.49,20.7,0.01,46.05,368.57,0
64.79,85.04,93.17,25.75,4.59,1171.62,0
65.24,99.61,40.42,48.75,54.91,738.27,0
31.62,10.72,88.76,82.13,66.62,1885.96,1
78.74,27.14,60.51,64.33,10.95,525.3,0
54.91,35.76,52.67,91.91,25.56,1673.22,0
43.14,47.89,15.95,45.56,72.12,1795.77,0
62.6,49.39,91.43,39.08,79.36,1477.03,1
36.07,85.62,55.67,23.14,98.59,445.06,0
51.27,77.06,0.61,21.81,25.32,535.53,0
73.67,1.89,1.83,73.61,84.14,1942.81,1
88.64,45.5,77.76,8.04,17.21,170.14,0
92.11,61.81,16.19,24.27,13.09,251.83,0
50.36,46.04,59.87,88.59,72.92,1957.57,1
52.03,13.06,68.11,57.69,44.59,1558.25,0
79.99,39.75,27.94,4.66,79.39,1497.84,0
31.45,41.17,56.93,70.43,28.26,337.21,0
83.74,18.77,24.03,50.67,21.32,988.1,0
49.41,75.63,94.63,85.45,54.88,1684.71,0
11.59,32.14,86.02,68.24,11.53,671.16,0
7.21,58.9,28.8,0.44,27.87,401.67,0
84.2,51.57,52.88,20.57,16.62,41.67,0
5.56,87.74,50.06,25.8,32.0,1252.63,0
28.06,12.2,96.0,70.22,76.55,601.74,0
33.41,11.43,39.4,50.93,12.07,1730.07,0
17.3,30.03,56.22,74.74,61.19,581.37,0
31.39,43.12,92.87,51.29,58.48,320.12,0
74.27,29.85,16.28,32.74,53.81,1921.69,0
1.47,76.32,55.05,10.37,48.42,1930.26,0
82.72,24.53,10.57,20.26,66.39,1376.35,0
85.65,8.48,61.75,40.08,85.18,1858.2,1
37.23,41.38,36.57,55.15,16.2,340.43,0
15.36,77.34,96.76,93.86,81.41,931.47,0
60.08,85.06,41.54,23.97,6.15,424.23,0
11.97,73.33,13.62,66.61,48.21,967.99,0
